Committee,Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Target Audience,Rainplan Location,,,,,
ON-CAMPUS,Choose Your Own Adventure (V1 only),9/2/2019,7:00 PM,9/2/2019,10:00 PM,,"Choose Your Own Adventure (CYOA) is a campus-wide evening that has something for everyone! The night will have tons of events to choose from ranging from a relaxed bonfire and s’mores to high-energy Human VS Zombie games. You can mix and match events or stay at one the whole night - it’s your choice. Get excited for lots of snacks, prizes, and new friends!
Event information:
Energy/Activity Level: VARIOUS
Noise Level: VARIOUS
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: No
This event will occur outside (weather permitting): Yes, some
","Ring Road - V1, SCH, DC",CYOA1,"Ring Road - V1, SCH, DC",,,,,
CONRAD,Choose Your Own Adventure,9/2/2019,7:00 PM,9/2/2019,10:00 PM,,"Choose Your Own Adventure (CYOA) is a campus-wide evening that has something for everyone! The night will have tons of events to choose from ranging from a relaxed bonfire and s’mores to high-energy Human VS Zombie games. You can mix and match events or stay at one the whole night - it’s your choice. Get excited for lots of snacks, prizes, and new friends!
Event information:
Energy/Activity Level: VARIOUS
Noise Level: VARIOUS
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: No
This event will occur outside (weather permitting): Yes, some
","Ring Road - V1, SCH, DC",CYOA1,"Ring Road - V1, SCH, DC",,,,,
Renison,Choose Your Own Adventure ,9/2/2019,7:00 PM,9/2/2019,10:00 PM,,"Choose Your Own Adventure (CYOA) is a campus-wide evening that has something for everyone! The night will have tons of events to choose from ranging from a relaxed bonfire and s’mores to high-energy Human VS Zombie games. You can mix and match events or stay at one the whole night - it’s your choice. Get excited for lots of snacks, prizes, and new friends!
Event information:
Energy/Activity Level: VARIOUS
Noise Level: VARIOUS
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: No
This event will occur outside (weather permitting): Yes, some
","Ring Road - V1, SCH, DC",CYOA1,"Ring Road - V1, SCH, DC",,,,,
SJU,Choose Your Own Adventure,9/2/2019,7:00 PM,9/2/2019,10:00 PM,,"Choose Your Own Adventure (CYOA) is a campus-wide evening that has something for everyone! The night will have tons of events to choose from ranging from a relaxed bonfire and s’mores to high-energy Human VS Zombie games. You can mix and match events or stay at one the whole night - it’s your choice. Get excited for lots of snacks, prizes, and new friends!
Event information:
Energy/Activity Level: VARIOUS
Noise Level: VARIOUS
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: No
This event will occur outside (weather permitting): Yes, some
","Ring Road - V1, SCH, DC",CYOA1,"Ring Road - V1, SCH, DC",,,,,
STP,Choose Your Own Adventure,9/2/2019,7:00 PM,9/2/2019,10:00 PM,,"Choose Your Own Adventure (CYOA) is a campus-wide evening that has something for everyone! The night will have tons of events to choose from ranging from a relaxed bonfire and s’mores to high-energy Human VS Zombie games. You can mix and match events or stay at one the whole night - it’s your choice. Get excited for lots of snacks, prizes, and new friends!
Event information:
Energy/Activity Level: VARIOUS
Noise Level: VARIOUS
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: No
This event will occur outside (weather permitting): Yes, some
","Ring Road - V1, SCH, DC",CYOA1,"Ring Road - V1, SCH, DC",,,,,
OFF-CAMPUS,Choose Your Own Adventure,9/2/2019,7:00 PM,9/2/2019,10:00 PM,,"Choose Your Own Adventure (CYOA) is a campus-wide evening that has something for everyone! The night will have tons of events to choose from ranging from a relaxed bonfire and s’mores to high-energy Human VS Zombie games. You can mix and match events or stay at one the whole night - it’s your choice. Get excited for lots of snacks, prizes, and new friends!
Event information:
Energy/Activity Level: VARIOUS
Noise Level: VARIOUS
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: No
This event will occur outside (weather permitting): Yes, some
","Ring Road - V1, SCH, DC",CYOA1,"Ring Road - V1, SCH, DC",,,,,
ON-CAMPUS,"Choose Your Own Adventure (CLV, MKV, REV, UWP only)",9/3/2019,7:00 PM,9/3/2019,10:00 PM,,"Choose Your Own Adventure (CYOA) is a campus-wide evening that has something for everyone! The night will have tons of events to choose from ranging from a relaxed bonfire and s’mores to high-energy Human VS Zombie games. You can mix and match events or stay at one the whole night - it’s your choice. Get excited for lots of snacks, prizes, and new friends!
Event information:
Energy/Activity Level: VARIOUS
Noise Level: VARIOUS
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: No
This event will occur outside (weather permitting): Yes, some
","Ring Road - V1, SCH, DC",ON-CAMPUS,"Ring Road - V1, SCH, DC",,,,,
ON-CAMPUS,Saturday Night Bash,9/7/2019, 8:00 PM,9/7/2019,12:00 AM,,"As a grand finale to Orientation, Saturday Night Bash will feature a Silent Disco, a Board Games Cafe, and a Picture This! Exhibit. The night will be filled with dancing, board games, tons of Instagram opportunities! 

Event information:
Energy/Activity Level: LOW
Noise Level: LOW
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): Yes, some
",SLC and DC Quad,NO ARCH,PAC Small Gym and SLC,,,,,
OFF-CAMPUS,Saturday Night Bash,9/7/2019, 8:00 PM,9/7/2019,12:00 AM,,"As a grand finale to Orientation, Saturday Night Bash will feature a Silent Disco, a Board Games Cafe, and a Picture This! Exhibit. The night will be filled with dancing, board games, tons of Instagram opportunities! 

Event information:
Energy/Activity Level: LOW
Noise Level: LOW
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): Yes, some
",SLC and DC Quad,NO ARCH,PAC Small Gym and SLC,,,,,
Renison,Saturday Night Bash,9/7/2019, 8:00 PM,9/7/2019,12:00 AM,,"As a grand finale to Orientation, Saturday Night Bash will feature a Silent Disco, a Board Games Cafe, and a Picture This! Exhibit. The night will be filled with dancing, board games, tons of Instagram opportunities! 

Event information:
Energy/Activity Level: LOW
Noise Level: LOW
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): Yes, some
",SLC and DC Quad,NO ARCH,PAC Small Gym and SLC,,,,,
SJU,Saturday Night Bash,9/7/2019, 8:00 PM,9/7/2019,12:00 AM,,"As a grand finale to Orientation, Saturday Night Bash will feature a Silent Disco, a Board Games Cafe, and a Picture This! Exhibit. The night will be filled with dancing, board games, tons of Instagram opportunities! 

Event information:
Energy/Activity Level: LOW
Noise Level: LOW
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): Yes, some
",SLC and DC Quad,NO ARCH,PAC Small Gym and SLC,,,,,
STP,Saturday Night Bash,9/7/2019, 8:00 PM,9/7/2019,12:00 AM,,"As a grand finale to Orientation, Saturday Night Bash will feature a Silent Disco, a Board Games Cafe, and a Picture This! Exhibit. The night will be filled with dancing, board games, tons of Instagram opportunities! 

Event information:
Energy/Activity Level: LOW
Noise Level: LOW
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): Yes, some
",SLC and DC Quad,NO ARCH,PAC Small Gym and SLC,,,,,
ON-CAMPUS,Black and Gold Carnival,9/7/2019,10:30 AM,9/7/2019, 1:00 PM,,"Get ready to enjoy fun games, activities, and free swag and food throughout the carnival, and make sure you’re ready to cheer on our Waterloo Warriors Men's Rugby team! This is a great time to show off all the Waterloo Warrior pride you've built over the week. There will be cheerleaders, orientation leaders, and other students helping prepare you for a special treat from the Orientation team during the halftime show! 

Event information:
Energy/Activity Level: HIGH
Noise Level: MODERATE
Low Lighting: No
Closest Inclusive & Barrier Free Washroom: Optometry (OPT)
This event will include food: YES
This event will occur outside (weather permitting): Yes, all","Parking Lot R, Parking Lot W",NO ARCH,North Campus Field House,,,,,
OFF-CAMPUS,Black and Gold Carnival,9/7/2019,10:30 AM,9/7/2019, 1:00 PM,,"Get ready to enjoy fun games, activities, and free swag and food throughout the carnival, and make sure you’re ready to cheer on our Waterloo Warriors Men's Rugby team! This is a great time to show off all the Waterloo Warrior pride you've built over the week. There will be cheerleaders, orientation leaders, and other students helping prepare you for a special treat from the Orientation team during the halftime show! 

Event information:
Energy/Activity Level: HIGH
Noise Level: MODERATE
Low Lighting: No
Closest Inclusive & Barrier Free Washroom: Optometry (OPT)
This event will include food: YES
This event will occur outside (weather permitting): Yes, all","Parking Lot R, Parking Lot W",NO ARCH,North Campus Field House,,,,,
Renison,Black and Gold Carnival,9/7/2019,10:30 AM,9/7/2019, 1:00 PM,,"Get ready to enjoy fun games, activities, and free swag and food throughout the carnival, and make sure you’re ready to cheer on our Waterloo Warriors Men's Rugby team! This is a great time to show off all the Waterloo Warrior pride you've built over the week. There will be cheerleaders, orientation leaders, and other students helping prepare you for a special treat from the Orientation team during the halftime show! 

Event information:
Energy/Activity Level: HIGH
Noise Level: MODERATE
Low Lighting: No
Closest Inclusive & Barrier Free Washroom: Optometry (OPT)
This event will include food: YES
This event will occur outside (weather permitting): Yes, all","Parking Lot R, Parking Lot W",NO ARCH,North Campus Field House,,,,,
SJU,Black and Gold Carnival,9/7/2019,10:30 AM,9/7/2019, 1:00 PM,,"Get ready to enjoy fun games, activities, and free swag and food throughout the carnival, and make sure you’re ready to cheer on our Waterloo Warriors Men's Rugby team! This is a great time to show off all the Waterloo Warrior pride you've built over the week. There will be cheerleaders, orientation leaders, and other students helping prepare you for a special treat from the Orientation team during the halftime show! 

Event information:
Energy/Activity Level: HIGH
Noise Level: MODERATE
Low Lighting: No
Closest Inclusive & Barrier Free Washroom: Optometry (OPT)
This event will include food: YES
This event will occur outside (weather permitting): Yes, all","Parking Lot R, Parking Lot W",NO ARCH,North Campus Field House,,,,,
STP,Black and Gold Carnival,9/7/2019,10:30 AM,9/7/2019, 1:00 PM,,"Get ready to enjoy fun games, activities, and free swag and food throughout the carnival, and make sure you’re ready to cheer on our Waterloo Warriors Men's Rugby team! This is a great time to show off all the Waterloo Warrior pride you've built over the week. There will be cheerleaders, orientation leaders, and other students helping prepare you for a special treat from the Orientation team during the halftime show! 

Event information:
Energy/Activity Level: HIGH
Noise Level: MODERATE
Low Lighting: No
Closest Inclusive & Barrier Free Washroom: Optometry (OPT)
This event will include food: YES
This event will occur outside (weather permitting): Yes, all","Parking Lot R, Parking Lot W",NO ARCH,North Campus Field House,,,,,
ON-CAMPUS,Black and Gold Rugby Game,9/7/2019,1:00 PM,9/7/2019, 3:00 PM,,"Come cheer on your Waterloo Warriors Men's Rugby team as they play the Guelph Gryphons. Rain or shine, show us your Warrior pride at the Black and Gold Day Rugby Game.                                                                                                                                                                                                         Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: No
Closest Inclusive & Barrier Free Washroom: Optometry (OPT)
This event will include food: NO
This event will occur outside (weather permitting): Yes, all",CIF Warrior Field,NO ARCH,CIF Warrior Field,,,,,
OFF-CAMPUS,Black and Gold Rugby Game,9/7/2019,1:00 PM,9/7/2019, 3:00 PM,,"Come cheer on your Waterloo Warriors Men's Rugby team as they play the Guelph Gryphons. Rain or shine, show us your Warrior pride at the Black and Gold Day Rugby Game.                                                                                                                                                                                                         Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: No
Closest Inclusive & Barrier Free Washroom: Optometry (OPT)
This event will include food: NO
This event will occur outside (weather permitting): Yes, all",CIF Warrior Field,NO ARCH,CIF Warrior Field,,,,,
Renison,Black and Gold Rugby Game,9/7/2019,1:00 PM,9/7/2019, 3:00 PM,,"Come cheer on your Waterloo Warriors Men's Rugby team as they play the Guelph Gryphons. Rain or shine, show us your Warrior pride at the Black and Gold Day Rugby Game.                                                                                                                                                                                                         Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: No
Closest Inclusive & Barrier Free Washroom: Optometry (OPT)
This event will include food: NO
This event will occur outside (weather permitting): Yes, all",CIF Warrior Field,NO ARCH,CIF Warrior Field,,,,,
SJU,Black and Gold Rugby Game,9/7/2019,1:00 PM,9/7/2019, 3:00 PM,,"Come cheer on your Waterloo Warriors Men's Rugby team as they play the Guelph Gryphons. Rain or shine, show us your Warrior pride at the Black and Gold Day Rugby Game.                                                                                                                                                                                                         Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: No
Closest Inclusive & Barrier Free Washroom: Optometry (OPT)
This event will include food: NO
This event will occur outside (weather permitting): Yes, all",CIF Warrior Field,NO ARCH,CIF Warrior Field,,,,,
STP,Black and Gold Rugby Game,9/7/2019,1:00 PM,9/7/2019, 3:00 PM,,"Come cheer on your Waterloo Warriors Men's Rugby team as they play the Guelph Gryphons. Rain or shine, show us your Warrior pride at the Black and Gold Day Rugby Game.                                                                                                                                                                                                         Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: No
Closest Inclusive & Barrier Free Washroom: Optometry (OPT)
This event will include food: NO
This event will occur outside (weather permitting): Yes, all",CIF Warrior Field,NO ARCH,CIF Warrior Field,,,,,
ON-CAMPUS,"Single & Sexy (CLV, MKV, REV residents only)",9/2/2019,7:15 PM,9/2/2019,8:30 PM,,"Single & Sexy is a theatrical musical - performed right here in our gymnasium! If High School Musical is your thing, you will not want to miss this. And even if it's not, this highly rated play is sure to teach you some of the ins and outs of student life at the University of Waterloo. Come see what everyone is talking about!

Event information:
Energy/Activity Level: LOW
Noise Level: MODERATE
Low Lighting: Yes, all
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): No
",PAC Large Gym,ON-CAMPUS,PAC Large Gym,,,,,
CONRAD,WUSA's First-Year Fair,9/5/2019,10:30 AM,9/5/2019,15:30 PM,,"Get to know your student association and what they do for you, chat with their student-run services and businesses, and to learn more about how WUSA enhances your student experience! The day will be filled with interactive booths, free food, and entertainment. Check-out Facebook for more information! 

Event information:
Energy/Activity Level: MODERATE
Noise Level: MODERATE
Low Lighting: No
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: YES
This event will occur outside (weather permitting): Yes, some
",SLC Great Hall,NO ARCH,SLC Great Hall,,,,,
ON-CAMPUS,WUSA's First-Year Fair,9/5/2019,10:30 AM,9/5/2019,15:30 PM,,"Get to know your student association and what they do for you, chat with their student-run services and businesses, and to learn more about how WUSA enhances your student experience! The day will be filled with interactive booths, free food, and entertainment. Check-out Facebook for more information! 

Event information:
Energy/Activity Level: MODERATE
Noise Level: MODERATE
Low Lighting: No
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: YES
This event will occur outside (weather permitting): Yes, some
",SLC Great Hall,NO ARCH,SLC Great Hall,,,,,
OFF-CAMPUS,WUSA's First-Year Fair,9/5/2019,10:30 AM,9/5/2019,15:30 PM,,"Get to know your student association and what they do for you, chat with their student-run services and businesses, and to learn more about how WUSA enhances your student experience! The day will be filled with interactive booths, free food, and entertainment. Check-out Facebook for more information! 

Event information:
Energy/Activity Level: MODERATE
Noise Level: MODERATE
Low Lighting: No
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: YES
This event will occur outside (weather permitting): Yes, some
",SLC Great Hall,NO ARCH,SLC Great Hall,,,,,
Renison,WUSA's First-Year Fair,9/5/2019,10:30 AM,9/5/2019,15:30 PM,,"Get to know your student association and what they do for you, chat with their student-run services and businesses, and to learn more about how WUSA enhances your student experience! The day will be filled with interactive booths, free food, and entertainment. Check-out Facebook for more information! 

Event information:
Energy/Activity Level: MODERATE
Noise Level: MODERATE
Low Lighting: No
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: YES
This event will occur outside (weather permitting): Yes, some
",SLC Great Hall,NO ARCH,SLC Great Hall,,,,,
SJU,WUSA's First-Year Fair,9/5/2019,10:30 AM,9/5/2019,15:30 PM,,"Get to know your student association and what they do for you, chat with their student-run services and businesses, and to learn more about how WUSA enhances your student experience! The day will be filled with interactive booths, free food, and entertainment. Check-out Facebook for more information! 

Event information:
Energy/Activity Level: MODERATE
Noise Level: MODERATE
Low Lighting: No
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: YES
This event will occur outside (weather permitting): Yes, some
",SLC Great Hall,NO ARCH,SLC Great Hall,,,,,
STP,WUSA's First-Year Fair,9/5/2019,10:30 AM,9/5/2019,15:30 PM,,"Get to know your student association and what they do for you, chat with their student-run services and businesses, and to learn more about how WUSA enhances your student experience! The day will be filled with interactive booths, free food, and entertainment. Check-out Facebook for more information! 

Event information:
Energy/Activity Level: MODERATE
Noise Level: MODERATE
Low Lighting: No
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: YES
This event will occur outside (weather permitting): Yes, some
",SLC Great Hall,NO ARCH,SLC Great Hall,,,,,
Architecture,Single & Sexy,9/2/2019,7:15 PM,9/2/2019,8:30 PM,,"Single & Sexy is a theatrical musical - performed right here in our gymnasium! If High School Musical is your thing, you will not want to miss this. And even if it's not, this highly rated play is sure to teach you some of the ins and outs of student life at the University of Waterloo. Come see what everyone is talking about!

Event information:
Energy/Activity Level: LOW
Noise Level: MODERATE
Low Lighting: Yes, all
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): No
",PAC Large Gym,ARCH,PAC Large Gym,,,,,
ON-CAMPUS,Single & Sexy (UWP residents only),9/2/2019,9:00 PM,9/2/2019,10:15 PM,,"Single & Sexy is a theatrical musical - performed right here in our gymnasium! If High School Musical is your thing, you will not want to miss this. And even if it's not, this highly rated play is sure to teach you some of the ins and outs of student life at the University of Waterloo. Come see what everyone is talking about!

Event information:
Energy/Activity Level: LOW
Noise Level: MODERATE
Low Lighting: Yes, all
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): No
",PAC Large Gym,ON-CAMPUS,PAC Large Gym,,,,,
OFF-CAMPUS,Single & Sexy,9/3/2019,7:15 PM,9/3/2019,8:30 PM,,"Single & Sexy is a theatrical musical - performed right here in our gymnasium! If High School Musical is your thing, you will not want to miss this. And even if it's not, this highly rated play is sure to teach you some of the ins and outs of student life at the University of Waterloo. Come see what everyone is talking about!

Event information:
Energy/Activity Level: LOW
Noise Level: MODERATE
Low Lighting: Yes, all
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): No
",PAC Large Gym,SS3,PAC Large Gym,,,,,
CONRAD,Single & Sexy,9/3/2019,7:15 PM,9/3/2019,8:30 PM,,"Single & Sexy is a theatrical musical - performed right here in our gymnasium! If High School Musical is your thing, you will not want to miss this. And even if it's not, this highly rated play is sure to teach you some of the ins and outs of student life at the University of Waterloo. Come see what everyone is talking about!

Event information:
Energy/Activity Level: LOW
Noise Level: MODERATE
Low Lighting: Yes, all
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): No
",PAC Large Gym,SS3,PAC Large Gym,,,,,
Renison,Single & Sexy,9/3/2019,7:15 PM,9/3/2019,8:30 PM,,"Single & Sexy is a theatrical musical - performed right here in our gymnasium! If High School Musical is your thing, you will not want to miss this. And even if it's not, this highly rated play is sure to teach you some of the ins and outs of student life at the University of Waterloo. Come see what everyone is talking about!

Event information:
Energy/Activity Level: LOW
Noise Level: MODERATE
Low Lighting: Yes, all
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): No
",PAC Large Gym,SS3,PAC Large Gym,,,,,
SJU,Single & Sexy,9/3/2019,7:15 PM,9/3/2019,8:30 PM,,"Single & Sexy is a theatrical musical - performed right here in our gymnasium! If High School Musical is your thing, you will not want to miss this. And even if it's not, this highly rated play is sure to teach you some of the ins and outs of student life at the University of Waterloo. Come see what everyone is talking about!

Event information:
Energy/Activity Level: LOW
Noise Level: MODERATE
Low Lighting: Yes, all
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): No
",PAC Large Gym,SS3,PAC Large Gym,,,,,
STP,Single & Sexy,9/3/2019,7:15 PM,9/3/2019,8:30 PM,,"Single & Sexy is a theatrical musical - performed right here in our gymnasium! If High School Musical is your thing, you will not want to miss this. And even if it's not, this highly rated play is sure to teach you some of the ins and outs of student life at the University of Waterloo. Come see what everyone is talking about!

Event information:
Energy/Activity Level: LOW
Noise Level: MODERATE
Low Lighting: Yes, all
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): No
",PAC Large Gym,SS3,PAC Large Gym,,,,,
ON-CAMPUS,Single & Sexy (V1 residents only),9/3/2019,9:00 PM,9/3/2019,10:15 PM,,"Single & Sexy is a theatrical musical - performed right here in our gymnasium! If High School Musical is your thing, you will not want to miss this. And even if it's not, this highly rated play is sure to teach you some of the ins and outs of student life at the University of Waterloo. Come see what everyone is talking about!

Event information:
Energy/Activity Level: LOW
Noise Level: MODERATE
Low Lighting: Yes, all
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): No
",PAC Large Gym,ON-CAMPUS,PAC Large Gym,,,,,
Arts,Welcome to Arts ,9/2/2019, 9:00 AM,9/2/2019, 9:45 AM,FALSE,"Come meet your team of Leaders and  fellow First-Year Students who will be on your team throughout the week!! This will be a fun opportunity to meet your fellow Arts students. Get ready to mix and mingle in this fast-paced event that will be sure to leave you with new friends (and social media followers!). You will also be given a “Rowdy Arts Welcome” by Upper-Year Arts Student Leaders!

Event information:
Energy/Activity Level: MODERATE
Noise Level: MODERATE
Low Lighting: No low lighting
Closest Inclusive & Barrier Free Washroom: Earth Sciences & Chemistry (ESC), J.R. Coutts Engineering Lecture Hall (RCH)
This event will include food: NO
This event will occur outside (weather permitting): YES
",Arts Quad ,ARTS,Hagey (HH) Hub ,,,,,
Arts,Colourful Competition,9/2/2019, 9:50 AM,9/2/2019,11:05 AM,FALSE,"You and your team will be working together to compete in multiple events that are sure to spark your competitive nature. With your fellow Arts Students, you will be competing in many fun activities! Teamwork is essential to success! Work together to earn points towards the awesome end of week prize! 

Event information:
Energy/Activity Level: MODERATE
Noise Level: MODERATE
Low Lighting: No low lighting
Closest Inclusive & Barrier Free Washroom: Earth Sciences & Chemistry (ESC), J.R. Coutts Engineering Lecture Hall (RCH)
This event will include food: NO
This event will occur outside (weather permitting): YES
","Arts Quad, Modern Languages (ML) Green, Arts Lecture (AL) 105, 113, 116, 124",ARTS,"AL Foyer, 105, 113, 116, 124, 208, 211, 
ML Foyer, ML 242, 245, 212, 216
",,,,,
Arts,Rowdy Arts Dance ,9/2/2019,11:15 AM,9/2/2019,12:15 PM,FALSE,"Get ready to join your fellow Arts students in learning the 2019 Arts Orientation Dance! Taught by the Arts Federation Orientation Committee (FOC) and Orientation Leaders, this is the dance when heard for years to come, you will be itching to dance. Trust us, this is going to be Rowdy!

Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: No low lighting
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): YES",Village 1 (V1) Green ,ARTS,"Hagey Hall (HH) 1101, Arts Lecture (AL) 113, 116",,,,,
Arts,Orange You Excited?,9/2/2019,12:20 PM,9/2/2019,12:35 PM,FALSE,"Find your team colour and gather around because we are about to get ROWDY! Teams will learn and practice their team cheers in the Arts Quad. Once everyone is ready, the battle begins! Each team will show off their spirit and perform their cheer. May the loudest team win the opportunity to eat first!

Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: No low lighting
Closest Inclusive & Barrier Free Washroom: Earth Sciences & Chemistry (ESC), J.R. Coutts Engineering Lecture Hall (RCH)
This event will include food: NO
This event will occur outside (weather permitting): YES
",Arts Quad ,ARTS,Hagey (HH) Hub ,,,,,
Arts,Monday's Marvelous Lunch ,9/2/2019,12:35 PM,9/2/2019, 1:30PM,FALSE,"Enjoy a tasty pizza lunch to re-energize before you head into afternoon programming, while chatting with your peers and upper-year students about what to look forward to as you start your journey as a UWaterloo Arts student! 

Event information:
Energy/Activity Level: LOW
Noise Level: MODERATE
Low Lighting: No low lighting
Closest Inclusive & Barrier Free Washroom: Earth Sciences & Chemistry (ESC), J.R. Coutts Engineering Lecture Hall (RCH)
This event will include food: YES
This event will occur outside (weather permitting): YES
",Arts Quad,ARTS,"AL Foyer, 105, 113, 116, 124, 208, 211, ML Foyer ",,,,,
Arts,Bursting with Colours,9/3/2019, 9:00 AM,9/3/2019, 9:20 AM,FALSE,"Your team has already sounded off how excited you were yesterday, but this is where your team really gets to show just how loud and proud you are! Join us in the Arts Quad for this, “riff off” style! Let’s get rowdy, Arts!

Event information:
Energy/Activity Level: MODERATE
Noise Level: MODERATE
Low Lighting: No low lighting
Closest Inclusive & Barrier Free Washroom: Earth Sciences & Chemistry (ESC), J.R. Coutts Engineering Lecture Hall (RCH)
This event will include food: NO
This event will occur outside (weather permitting): YES
",Arts Quad ,ARTS,Hagey (HH) Hub ,,,,,
Arts,Sessions for Success ,9/3/2019, 9:30 AM,9/3/2019, 1:00 PM,FALSE,"Get acquainted with resources that you will need to be successful with your studies during your first year of university and onwards. With a mix of academic and general life advice from our UW Arts Alumna keynote speaker. Sessions for Success will provide you will essential tips, tricks, and important information that will work as a tool kit for your success at UWaterloo and your future after it.

Event information:
Energy/Activity Level: MODERATE
Noise Level: LOW
Low Lighting: Some low lighting
Closest Inclusive & Barrier Free Washroom: Math & Computers (MC)
This event will include food: YES
This event will occur outside (weather permitting): No
","Hagey Hub (HH) Theatre,
Arts Lecture (AL) 105, 113, 116, 124, 208, 211",ARTS,,,,,,
Arts,Dean's Lunch ,9/3/2019, 1:10 PM,9/3/2019, 2:00 PM,FALSE,"You will be formally welcomed into the Faculty of Arts in a picnic style lunch provided by the Faculty of Arts. Sheila Ager, Dean of Arts will talk about the Arts community, meeting the faculty and staff, and gain a better understanding of the expectations and opportunities that are involved with being in the Faculty of Arts.

Event information:
Energy/Activity Level: LOW
Noise Level: LOW
Low Lighting: No low lighting
Closest Inclusive & Barrier Free Washroom: Earth Sciences & Chemistry (ESC), J.R. Coutts Engineering Lecture Hall (RCH)
This event will include food: YES
This event will occur outside (weather permitting): YES
",Arts Quad ,ARTS,"AL Foyer, 
Arts Lecture (AL)  105, 113, 116, 124
",,,,,
Arts,#FindYourColours,9/3/2019, 2:00 PM,9/3/2019, 4:00 PM,FALSE,"This scavenger hunt will be filled with opportunities. Get to know your way around campus, take some Insta-worthy pictures, and gain points to become the Ultimate Colour Team at the end of the week! 

Event information:
Energy/Activity Level: LOW
Noise Level: LOW
Low Lighting: No low lighting
Closest Inclusive & Barrier Free Washroom: Earth Sciences & Chemistry (ESC), J.R. Coutts Engineering Lecture Hall (RCH)
This event will include food: NO
This event will occur outside (weather permitting): Yes, some
","Arts Quad (Instructions to be given here)
ML Foyer (Late check-in)
Various locations (ECH, AL, DP, HH, PAS, HS, NH, SCH, SLC, SJU, ML)",ARTS,Hagey (HH) Hub (Instructions to be given here),,,,,
